Designator,Mid X,Mid Y,Rotation,Layer
C1,132.5200,-97.7740,-90.0000,top
C1-5v1,139.2500,-42.4500,-90.0000,top
C2,132.5200,-93.0120,90.0000,top
C2-5v1,144.3300,-42.4500,-90.0000,top
C3,132.5200,-88.2500,90.0000,top
C3-3v1,124.0100,-42.4500,-90.0000,top
C4,132.5200,-83.4880,90.0000,top
C4-3v1,129.0900,-42.4500,-90.0000,top
C5,132.5200,-78.7260,90.0000,top
C5-3v1,134.1700,-42.4500,-90.0000,top
C6,132.5200,-102.5360,90.0000,top
D1-Opto1,76.2000,-53.3400,180.0000,top
Q1-Buzzer1,128.0200,-62.0100,0.0000,top
R1-Buzzer1,129.2900,-67.0900,180.0000,top
R2-Throw-A1,89.8075,-78.8300,180.0000,top
R3-ThrowB1,89.8075,-68.6700,180.0000,top
R4-Common1,89.8075,-73.7500,180.0000,top
R5,118.8475,-93.9660,0.0000,top
R6-SCL1,118.8475,-96.5060,0.0000,top
R7-SDA1,118.8475,-101.5860,0.0000,top
R8-A2-1,142.7725,-98.8960,180.0000,top
R9-A2-2,142.7725,-93.8160,180.0000,top
R10-A2-3,142.7725,-88.7360,0.0000,top
R11-Opto-In1,81.2800,-53.3400,180.0000,top
R12-Opto-PullUp1,71.1200,-53.3400,0.0000,top
R13-Opto-GND1,71.1200,-58.4275,-90.0000,top
R15-Purple1,137.6000,-101.5860,90.0000,top
R16-A2-0,142.7725,-103.9760,0.0000,top
R17-A1-3,142.7725,-78.5760,0.0000,top
R18-A1-2,142.7725,-83.6560,0.0000,top
SW1,88.9000,-58.4200,90.0000,top
U1,125.6500,-78.7260,0.0000,top
U2,125.6500,-97.8797,0.0000,top
U3-Opto1,78.7400,-58.4200,180.0000,top
LS1-Buzzer1,139.4500,-64.5500,-90.0000,top
J2,58.2500,-101.9850,180.0000,top
J3,155.0000,-67.0000,90.0000,top
J4,76.7500,-78.8300,90.0000,top
J5,155.0000,-103.9950,90.0000,top
J6,60.9600,-58.4200,90.0000,top
J8,132.6725,-53.2950,90.0000,top
J1-LEFT,96.7600,-74.9300,0.0000,top
J1-RIGHT,114.3000,-74.9300,0.0000,top
